EnvironmentID:ID,Name,:LABEL
0c010cc55b9e1000da9f6cb43e4254af,Presto Services (DR),Environment
0c0340855bde1000da9f6cb43e42544a,iProcess (DR),Environment
0c0e016e1c426d80093fc21c941a55fa,Box Management (ACCP),Environment
0c41919387dbdcc09f16c5a36c434d2d,Database Platform Infrastructure (PRD),Environment
0c435c83ff239440b15cfe5c157efeee,Oracle Business Intelligence (PRD),Environment
0c5e405a4fa44700872a5bad0210c749,SCOM (PRD),Environment
0c5e805a4fa44700872a5bad0210c753,SolarWinds NPM-NTA (PRD),Environment
0c8351144fd7df809f96605f0310c74d,Archive - Electronic Loan Processing (ACCP),Environment
0cd4772e5b165040da9f6cb43e4254d9,Policy Extraction for ct1035 (DR),Environment
0cdfe93461f87100eab786195192b685,Enterprise Delivery Office Database (PRD),Environment
0cfe33745b5e1000da9f6cb43e425493,DC Participant Services (DR),Environment
0d17042065b76804093f7431eb5dfff0,GENEX - einfoTpa (UNIT),Environment
0d59414fa90869001e22258c8f59f461,Oracle Document Capture Commit Server (UNIT),Environment
0dd9cc9bc50b4104cb04a554b84bdadf,Voya Access Batch Linked Plans Load (INTG),Environment
0e28cb2c5b529440da9f6cb43e4254c1,Symantec AntiVirus (DR),Environment
0e439d47e9d6d184bcb8e26f7a020975,Life Data Mart & Reporting (UNIT),Environment
0e5bfde94f65f604cfc9bfaf0310c76f,SonarQube (PRD),Environment
0e6d5079590ef900cb3306b0f8f24a0f,Transaction History Web Service (INTG),Environment
0e6db0a54fb31e00e52c605f0310c7ac,Infosys Automation Platform (PRD),Environment
0ed463f34fef6e40b33bbfaf0310c725,TransactIT - TPA (DR),Environment
0eea03204f386240b33bbfaf0310c770,Genesys Call Routing (INTG),Environment
0f2440334fc85384ab155bad0210c7f1,IBM Control Center (DR),Environment
0f4b1c5f6f5e0200235ee2300b3ee4f3,State Street iPay Benefits Portal (DR),Environment
0f6b140d5bd65000da9f6cb43e425453,PRD DB (DR),Environment
0fd77e8affa428c0b15cfe5c157efe2e,Email Master List (DEV),Environment
0ff69d534f52d200872a5bad0210c7a2,VHC Automation Tooling (UNIT),Environment
0ff9bc7f6f9dc600889d38103c3ee4cd,Symantec Data Loss Prevention (DR),Environment
1015a5b5e96d1d40bcb8e26f7a020920,Task Manager Batch (PRD),Environment
101640ac65776804093f7431eb5dff08,GENEX - eInfoSpn (PRD),Environment
10170bfe5dc04d04093f80f00f03ef6f,Fee Disclosure - All Markets (DR),Environment
10ab75c54f816e80e52c605f0310c7a2,SetIT/SetIT UI (DR),Environment
10b913a6d9d4fd40eab756e00dab351a,Participant Account Web Service (UNIT),Environment
10e082d44f5912c003224b901210c7ff,Annuity ID Management (ACCP),Environment
111700ec65776804093f7431eb5dff69,GENEX - eInfoSpn (SYST),Environment
1124a32c4fdc0b00f6bd4b901210c7c3,Account Recon ODS (UNIT),Environment
1124a32c4fdc0b00f6bd4b901210c7c6,Account Recon ODS (INTG),Environment
1124a32c4fdc0b00f6bd4b901210c7c9,Account Recon ODS (ACCP),Environment
11553d4021050104cd3b90193281c09d,CHIPS (DEV),Environment
1188026c4f7247c09f96605f0310c7b8,CHIPS (DR),Environment
118e4cf9c5328980cb04a554b84bda85,Fund Operations - Fixed MVA (ACCP),Environment
11a776f44febdbc49f96605f0310c7dd,Archive - Auto Enroll (PRD),Environment
11d889cba90869001e22258c8f59f414,Document Indexing tool and Bar code Print (UNIT),Environment
12073cdd4f36d74007cc5bad0210c704,Genex - iAdminQDRO Content Management Tool (DR),Environment
1207499d0a0a3c250037bab838d395a3,Stellent (DEV),Environment
1207d0e70a0a3c25017d618c6832d9e2,Stellent (QA),Environment
1208326e0a0a3c2500c4a76d2575cb36,Stellent (PRD),Environment
126f4d304f892e80e52c605f0310c734,Enterprise Messaging System (ACCP),Environment
129ab0854fa6974c9a0b4b901210c7bb,Login Ownership Tracking (ACCP),Environment
12a827c86583b4c4093f7431eb5dff23,Datair (DR),Environment
12cc05aa1c426d80093fc21c941a55c5,AMI Imaging Record Activator (ACCP),Environment
12d8f4f10a0a3c250021be53ad563974,TPA Support Website (PRD),Environment
12e8268b0a0a3c25014526babbcb8711,Electronic Participant Action (PRD),Environment
